labs_os,Labs OS
upgrade_hack_infection_specialist_desc, Multiplikatywnie zwiększa Obrażenia Infekcją o 100%. Zmniejsza Obrażenia Ładunkiem o 40%
upgrade_hack_sneak_attack,Atak z Ukrycia
upgrade_hack_sneak_attack_desc,Zwiększa limit czasu włamania o 1 sekundę
upgrade_hack_spoil,Łup
upgrade_hack_spoil_desc,Zwiększa nagrody za włamanie o 100%
upgrade_breach_money_multiplier,Handel Informacjami Poufnymi
upgrade_breach_money_multiplier_desc,Multiplikatywnie zwiększa przychód Pieniędzy o 20%
upgrade_breach_research_multiplier,Szpiegostwo
upgrade_breach_research_multiplier_desc,Multiplikatywnie zwiększa przychód z Badań o 20%
upgrade_breach_price_multiplier,Szantaż
upgrade_breach_price_multiplier_desc,Obniża ceny o 5%
upgrade_breach_research_speed_multiplier,Niemoralne Badania
upgrade_breach_research_speed_multiplier_desc,Zwiększa prędkość badań o 10%
upgrade_breach_government_layers,Sabotaż Rządu
upgrade_breach_government_layers_desc,Multiplikatywnie zmniejsza warstwy obronne rządu o 10%
upgrade_breach_corporation_layers,Sabotaż Korporacji
upgrade_breach_corporation_layers_desc,Multiplikatywnie zmniejsza warstwy obronne korporacji o 10%
upgrade_optimization,Optymalizacja
upgrade_optimization_desc,Przyznaje punkt optymalizacji
upgrade_application,Aplikacja
upgrade_application_desc,Przyznaje punkt aplikacji
upgrade_driver,Sterownik
upgrade_driver_desc,Zwiększa wydajność komponentów
upgrade_optimization_download_size,Skompresowane Pobieranie
upgrade_optimization_download_size_desc,Zmniejsza rozmiar pobieranych plików o połowę
upgrade_optimization_upload_size,Skompresowane Wysyłanie
upgrade_optimization_upload_size_desc,Zmniejsza rozmiar przesyłanych plików o połowę
upgrade_optimization_hashing,Zoptymalizowane Hashowanie
upgrade_optimization_hashing_desc,Zmniejsza ilość cykli zegara potrzebnych do kopania krypto coinów o połowę
upgrade_optimization_virus_scanner,Zoptymalizowany Skaner Wirusów
upgrade_optimization_virus_scanner_desc,Zmniejsza liczbę cykli zegara wymaganych przez Skaner Wirusów o połowę
upgrade_optimization_quarantine,Zoptymalizowana Kwarantanna
upgrade_optimization_quarantine_desc,Zmniejsza liczbę cykli zegara wymaganych przez Kwarantannę o połowę
upgrade_optimization_verifier,Zoptymalizowane Sprawdzanie Integralności
upgrade_optimization_verifier_desc,Zmniejsza liczbę cykli zegara wymaganych przez Weryfikator o połowę
upgrade_optimization_compression,Zoptymalizowana Kompresja
upgrade_optimization_compression_desc,Zmniejsza liczbę cykli zegara wymaganych przez Kompresor o połowę
upgrade_optimization_enhancement,Zoptymalizowane Ulepszenie
upgrade_optimization_enhancement_desc,Zmniejsza liczbę cykli zegara wymaganych przez Ulepszacz o połowę
upgrade_optimization_refinement,Zoptymalizowany Rafiner
upgrade_optimization_refinement_desc,Zmniejsza liczbę cykli zegara wymaganych przez Rafinator danych o połowę
upgrade_optimization_analysis,Zoptymalizowana Analiza Wstępna
upgrade_optimization_analysis_desc,Zmniejsza liczbę cykli zegara wymaganych przez Analizator Wstępny o połowę
upgrade_optimization_distillation,Zoptymalizowane Destylowanie
upgrade_optimization_distillation_desc,Zmniejsza liczbę cykli zegara wymaganych przez Destylator o połowę
upgrade_optimization_decompiler,Zoptymalizowana Dekompilacja
upgrade_optimization_decompiler_desc,Zmniejsza liczbę cykli zegara wymaganych przez Dekompilator o połowę
upgrade_optimization_decomposer,Zoptymalizowana Dekompozycja
upgrade_optimization_decomposer_desc,Zmniejsza liczbę cykli zegara wymaganych przez Dekompozer o połowę
upgrade_optimization_demuxer,Zoptymalizowany Demux
upgrade_optimization_demuxer_desc,Zmniejsza liczbę cykli zegara wymaganych przez Demukser o połowę
upgrade_optimization_scrapper,Zoptymalizowane Scrapowanie
upgrade_optimization_scrapper_desc,Zmniejsza liczbę cykli zegara wymaganych przez Scraper o połowę
upgrade_optimization_ripper,Zoptymalizowany Rip
upgrade_optimization_ripper_desc,Zmniejsza liczbę cykli zegara wymaganych przez Ripper o połowę
upgrade_optimization_movie_maker,Zoptymalizowane Renderowanie
upgrade_optimization_movie_maker_desc,Zmniejsza liczbę cykli zegara wymaganych przez Edytor Wideo o połowę
upgrade_optimization_compiler,Zoptymalizowana Kompilacja
upgrade_optimization_compiler_desc,Zmniejsza liczbę cykli zegara wymaganych przez Kompilator o połowę
upgrade_optimization_game_engine,Zoptymalizowany Silnik Gry
upgrade_optimization_game_engine_desc,Zmniejsza liczbę cykli zegara wymaganych przez Silnik Gry o połowę
upgrade_optimization_trainer,Zoptymalizowane Uczenie
upgrade_optimization_trainer_desc,Zmniejsza liczbę cykli zegara wymaganych przez Trenera AI o połowę
upgrade_optimization_movie_renderer,Zoptymalizowane Renderowanie GPU
upgrade_optimization_movie_renderer_desc,Zmniejsza liczbę cykli zegara wymaganych przez Renderera Filmów o połowę
upgrade_optimization_encompressor,Zoptymalizowna Enkompresja
upgrade_optimization_encompressor_desc,Zmniejsza liczbę cykli zegara wymaganych przez Enkopresor o połowę
research_research,Badania
research_verifier,Weryfikacja Sumy Kontrolnej
research_verifier_desc,"Odblokowuje Weryfikator, który sprawdza integralność plików, by zwiększyć ich wartość"
research_redownload,Ponowne Pobieranie
research_redownload_desc,"Odblokowuje Ponowne Pobieranie, które naprawia uszkodzone pliki, by zwiększyć ich wartość"
research_synchronizer,Równoległość
research_synchronizer_desc,"Odblokowuje węzły Synchronizatora, pozwalając CPU i GPU na synchroniczne działanie"
research_network_exchanger,Wymieniacz Sieciowy
research_network_exchanger_desc,Konwertuje prędkość Wysyłania na Pobieranie i odwrotnie
research_scheduler,Planer
research_scheduler_desc,"Odblokowuje Planer, pozwalając na konwersję Prędkości GPU na Taktowanie"
research_compression_level2,Podwójna Kompresja
research_compression_level3,Potrójna Kompresja
research_compression_level_desc,Zwiększa maksymalną liczbę kompresji plików o 1
research_enhancement_level2,Podwójny Ulepszacz
research_enhancement_level3,Potrójny Ulepszacz
research_enhancement_level_desc,Zwiększa maksymalną liczbę ulepszeń plików o 1
research_bitcoin,Kopanie Bitcoina
research_bitcoin_desc,"Odblokowuje możliwość kopania Bitcoina, monety o średniej zmienności"
research_hacking,Hakowanie
research_hacking_desc,Odblokowywuje dostęp do Hakowania
research_breach_corporation,Włamanie do Korporacji
research_breach_corporation_desc,Odblokowuje możliwość włamania do korporacji i kradzieży danych dla celów finansowych
research_breach_bank,Włamanie do Banku
research_infection_damage,Obrażenia Infekcji
research_infection_damage_desc,Odblokowuje możliwość tworzenia Obrażeń Infekcji
research_breach_government,Włamanie do rządu
research_breach_government_desc,Odblokowuje możliwość włamania do instytucji publicznych i kradzieży danych wywiadowczych dla celów badawczych
research_infect_payload,Ładunek Infekcyjny
research_infect_payload_desc,"Odblokowuje umiejętność Ładunku Infekcyjnego, pozwalając zadać dodatkowe Obrażenia Infekcji"
research_critical_payload,Ładunek Krytyczny
research_critical_payload_desc,"Odblokowuje umiejętność Ładunku Krytycznego, pozwalając ładunkowi na szansę znacznego zwiększenia swojej mocy"
research_ghost_attack,Atak Ducha
research_ghost_attack_desc,"Odblokowuje umiejętność Ataku Ducha, pozwalając na ignorowanie zapory sieciowej przez dowolne obrażenia"
research_injection,Iniekcja
research_injection_desc,"Odblokowuje umiejętność Ujawnienia Słabości, powodując, że cele włamań przyjmują więcej obrażeń w zależności od Mocy Hakowania"
research_trojan,Trojany
research_refinement,Rafinacja Danych
research_refinement_desc,"Odblokowuje Rafinator Danych, który rafinuje pliki w celu zwiększenia wartości badań"
research_analysis,Analiza Wstępna
research_analysis_desc,"Odblokowuje Analizator Wstępny, który wstępnie analizuje pliki, by zwiększyć prędkość badań"
research_coding,Kodowanie
research_coding_desc,Odblokowuje dostęp do kodowania
research_optimizations,Optymalizacje
research_optimizations_desc,"Odblokowuje dostęp do kombinacji zmiennych, optymalizacji kodowania i budowania"
research_applications,Aplikacje
research_applications_desc,Odblokowuje dostęp do tablic (array) i kodowania aplikacji
research_drivers,Sterowniki
research_drivers_desc,Odblokowuje dostęp do HashMap i kodowania sterowników
research_debugging,Debugowanie
research_debugging_desc,"Odblokowuje dostęp do debugowania, które testuje kod naprawiony lub zawierający błąd"
research_code_optimization,Optymalizacja Kodu
research_code_optimization_desc,"Odblokowuje dostęp do Optymalizacji Kodu, która optymalizuje kod dla zwiększenia jego wartości"
research_portal,Portal
research_ethereum,Kopanie Ethereum
research_ethereum_desc,"Odblokowuje możliwość kopania Ethereum, monety o wysokiej zmienności"
research_token_mining,Kopanie Tokenów
research_token_mining_desc,Odblokowuje możliwość kopania Tokenów
research_ai,Sztuczna Inteligencja
research_ai_texts,Duży Model Językowy
research_ai_texts_desc,Odblokowuje dostęp do generowania Tekstu
research_ai_images,Dyfuzja
research_ai_images_desc,Odblokowuje dostęp do generowania Obrazów
research_ai_sounds,Sieć Wokodera
research_ai_sounds_desc,Odblokowuje dostęp do generowania Dźwięku
research_ai_videos,Transformer Wideo
research_ai_videos_desc,Odblokowuje dostęp do generowania Wideo
research_ai_programs,Synteza Programów
research_ai_programs_desc,Odblokowuje dostęp do generowania Programów
research_ai_games,Symulacja Proceduralna
research_ai_games_desc,Odblokowuje dostęp do tworzenia Gier
research_overclocking,Podkręcanie
research_overclocking_desc,"Odblokowuje możliwość podkręcania komponentów, zwiększając wydajność"
research_distillation,Destylacja danych
research_distillation_desc,"Odblokowuje Destylator, który destyluje pliki dla lepszej produkcji neuronów"
research_cooling,Chłodzenie
research_cooling_desc,"Odblokowuje Radiator, pozwalając na rozpraszanie Ciepła generowanego przez podkręcanie"
research_agi,Ogólna Sztuczna Inteligencja
research_agi_desc,"Odblokowuje AGI, które może zwiększać produktywność na podstawie liczby neuronów"
perk_auto_collect,Automatyczny Zbieracz
perk_auto_collect_desc,"Odblokowuje Automatyczny Zbieracz, który automatycznie zbiera wprowadzone zasoby"
perk_groups,Grupa Węzłów
perk_groups_desc,"Odblokowuje Grupę Węzłów, pozwalając na grupowanie i przemieszczanie łączeń razem"
perk_network_limiter,Limiter Sieci
perk_network_limiter_desc,"Odblokowuje Limiter Sieci, pozwalając na rozdzielanie Pobierania i Wysyłania w różnych proporcjach"
perk_cheapskate,Oszczędniś
perk_cheapskate_desc,Zmniejsza koszty pieniężne o 5%
perk_download_manager,Menadźer Pobierania
perk_download_manager_desc,"Odblokowuje Menadżera Pobierania, pozwalając na pobieranie wszystkich plików według określonych proporcji"
perk_antivirus_pro,Antywirus Pro
perk_antivirus_pro_desc,"Odblokowuje Antywirusa Pro, który skanuje i usuwa wirusy z plików"
perk_token_multiplier,Szczęście
perk_token_multiplier_desc,Zwiększa zysk z tokenów z losowych pojawień o 1
perk_max_rest_time,Kapsuła Czasu
perk_max_rest_time_desc,Zwiększa pojemność Czasu Odpoczynku o 30 sekund
perk_rest_time_multiplier,Katalizator Bezczynności
perk_rest_time_multiplier_desc,Zwiększa zysk z Czasu Odpoczynku o 10%
perk_thread_manager,Menadżer wątków
perk_thread_manager_desc,"Odblokowuje Menadżera Wątków, pozwalając na podział Taktowania na różne proporcje"
perk_plus_network,Podwójna Sieć
perk_plus_network_desc,Zwiększa limit węzłów sieci o 1
perk_mine_tether,Kopanie Tethera
perk_mine_tether_desc,"Odblokowuje Kopanie Tethera, stabilnej Monety automatycznie zamienianej na pieniądze"
perk_automated_crypto_seller,Automatyczny Sprzedawca Kryptowalut
perk_automated_crypto_seller_desc,"Odblokowuje Automatycznego Sprzedawcę Kryptowalut, który sprzedaje Monety za pieniądze"
perk_plus_laboratory,Rozszerzone badania
perk_plus_laboratory_desc,Zwiększa limit węzłów Laboratorium Danych o 1
perk_system_upgrade,Aktualizacja Systemu
perk_system_upgrade_desc,Multiplikatywnie zwiększa wydajność systemu o 20%
perk_hack_specialization,Specjalizacja Hakowania
perk_hack_specialization_desc,Multiplikatywnie zwiększa Moc Hakowania o 20%
perk_code_specialization,Specjalizacja Kodowania
perk_code_specialization_desc,Multiplikatywnie zwiększa prędkość kodowania o 20%
perk_ide,IDE
perk_ide_desc,"Odblokowuje IDE, pozwalając zmiennym na kodowanie według określonych proporcji"
premium_daily_tokens,Dzienne Tokeny
premium_daily_tokens_desc,"Natychmiast otrzymaj 1400 tokenów
Otrzymuj 200 tokenów dziennie
+1 Poziom Wsparcia"
premium_token_pack,Pakiet Tokenów
premium_token_pack_desc,"Natychmiast otrzymaj 5000 tokenów
+1 Poziom Wsparcia"
premium_chronomancer,Generator Czasu
premium_chronomancer_desc,"Podwaja produkcję i pojemność Czasu Odpoczynku
Produkuje Czas Odpoczynku gdy jesteś online
+1 Poziom Wsparcia"
premium_permanent_boost,Stałe Wzmocnienia
premium_permanent_boost_desc,"Wzmocnienia stają się permanentne
+1 Poziom Wsparcia"
boost_money,Drukarka Pieniędzy
boost_money_desc,Podwaja wszystkie przychody przez 10 minut
boost_bandwidth,Przejęcie DNS
boost_bandwidth_desc,Podwaja prędkość Pobierania i Wysyłania przez 10 minut
boost_clock,Podkręcenie
boost_clock_desc,Podwaja Taktowanie na 10 minut
boost_gpu,Przegrzanie
boost_gpu_desc,Podwaja Prędkość GPU na 10 minut
boost_research,Dopieszczone Badania
boost_research_desc,Podwaja Prędkość Badań na 10 minut
boost_hack_power,Wzmocnienie Ładunku
boost_hack_power_desc,Podwaja Moc Hakowania na 10 minut
boost_code_speed,Podział Wątków
boost_code_speed_desc,Podwaja Prędkość Kodu na 10 minut
service_hack_reset,Reset Statystyk
service_hack_reset_desc,Resetuje i zwraca wszystkie punkty i ulepszenia hakowania
service_optimization_reset,Rewizja
service_optimization_reset_desc,Resetuje i zwraca wszystkie punkty optymalizacji i ulepszenia
service_application_reset,Reinstalacja
service_application_reset_desc,"Resetuje i zwraca wszystkie punkty aplikacji, ulepszenia i węzły"
build_limit_reached,Błąd: Osiągnięto limit liczby węzłów
stats_max_money,Całkowite Pieniądze
stats_max_research,Całkowite Badania
stats_max_infections,Całkowite Infekcje
stats_max_tokens,Całkowite Tokeny
stats_downloads,Pobrania
stats_uploads,Wysyłania
stats_scanned,Pliki Zeskanowane
stats_quarantined,Pliki Poddane Kwarantannie
stats_verified,Pliki Zweryfikowane
stats_redownloaded,Pliki Pobrane Ponownie
stats_compressed,Pliki Skompresowane
stats_enhanced,Pliki Ulepszone
stats_refined,Pliki Rafinowane
stats_analyzed,Pliki wstępnie przeanalizowane
stats_distilled,Pliki zdestylowane
stats_researched,Pliki przebadane
stats_max_hack_experience,Całkowite Doświadczenie w Hakowaniu
stats_max_corporation_data,Całkowite Dane Korporacyjne
stats_max_government_intel,Całkowite Dane Rządowe
stats_anonymous_breached,Anonimowe Włamania
stats_corporation_breached,Włamania do Korporacji
stats_government_breached,Włamania do Rządu
stats_bank_breached,Włamania do Banków
stats_commits,Zatwierdzenia Wykonane
stats_max_neurons,Całkowita liczba Neuronów
stats_generated,Wygenerowane Pliki
stats_reborns,Odwiedzone Portale
stats_elapsed_time,Całkowity Czas
stats_time_played,Czas Gry
achievement_first_upload,Rozpoczęcie
achievement_first_upload_desc,Prześlij swój pierwszy plik
achievement_variety_downloader,Pobieracz różnorodny
achievement_variety_downloader_desc,Pobierz jednocześnie wszystkie typy plików
achievement_wasted_effort,Zmarnowany Wysiłek
achievement_wasted_effort_desc,Skompresuj ulepszony plik lub odwrotnie
achievement_infected,Co mogło pójść nie tak?
achievement_infected_desc,Prześlij zainfekowany plik
achievement_quarantined,Protokół Powstrzymania
achievement_quarantined_desc,Usuń wirusy z zainfekowanego pliku
achievement_redownloaded,Medyk Danych
achievement_redownloaded_desc,Napraw uszkodzony plik
achievement_reborn,Uniwersalny Podróżnik
achievement_reborn_desc,Wejdź do portalu
achievement_hacking,Wspinaczka Hakerska
achievement_hacking_desc,Odblokuj Hakowanie
achievement_serial_breacher,Seryjny Włamywacz
achievement_serial_breacher_desc,"Włam się do Anonimowych, Korporacji i Rządu w mniej niż 1 sekundę"
achievement_grand_heist,Wielki Skok
achievement_grand_heist_desc,Pomyślnie włam się do Banków 10 razy
achievement_trojan,Nieproszony Gość
achievement_trojan_desc,Prześlij plik z trojanem
achievement_coding,Wspinaczka Kodera
achievement_coding_desc,Odblokuj Kodowanie
achievement_its_a_feature,"To nie bug, to feature"
achievement_its_a_feature_desc,Zatwierdź błędny kod
achievement_fully_optimized,Back-end Dev
achievement_fully_optimized_desc,Odblokuj wszystkie optymalizacje
achievement_aspirant_dev,Front-end Dev
achievement_aspirant_dev_desc,Odblokuj wszystkie aplikacje
achievement_agi,Ogólna Sztuczna Inteligencja
achievement_agi_desc,Osiągnij AGI
achievement_text_completionist,"Perfekcjonista Tekstowy
"
achievement_text_completionist_desc,Wykonaj wszystkie żądania Tekstowe
achievement_image_completionist,Perfekcjonista Obrazów
achievement_image_completionist_desc,Wykonaj wszystkie żądania Obrazów
achievement_sound_completionist,Perfekcjonista Dźwięku
achievement_sound_completionist_desc,Wykonaj wszystkie żądania Dźwięku
achievement_video_completionist,Perfekcjonista Wideo
achievement_video_completionist_desc,Wykonaj wszystkie żądania Wideo
achievement_program_completionist,Perfekcjonista Programów
achievement_program_completionist_desc,Wykonaj wszystkie żądania Programowe
achievement_game_completionist,Perfekcjonista Gier
achievement_game_completionist_desc,Wykonaj wszystkie żądania Gier
achievement_completionist,Perfekcjonista
achievement_completionist_desc,Wykonaj wszystkie żądania
achievement_out_of_memory,Brak pamięci
achievement_out_of_memory_desc,Osiągnij maksymalną pojemność węzłów
guide_nodes,Węzły
guide_nodes_desc,"Węzły to interaktywne okna, które można umieścić na pulpicie. Każdy węzeł reprezentuje określony komponent lub proces w systemie.

[h]Funkcjonalność[/h]
Węzły pełnią dwie podstawowe funkcje:
[I]Generowanie zasobów:[/I] Niektóre węzły produkują nowe zasoby.
[I]Transformacja zasobów:[/I] Inne węzły pobierają zasoby jako wejście i przekształcają je na inne wyjściowe zasoby.

[h]Przykład[/h]
Węzeł sieciowy zapewnia prędkość Pobierania, którą można połączyć z węzłem pobierającym pliki, co powoduje pobieranie pliku. Następnie skaner może zeskanować plik, generując zeskanowany plik o wyższej wartości.

[h]Limity[/h]
Niektóre typy węzłów mają limit, ile naraz może być aktywnych.
Inne węzły można umieszczać bez ograniczeń.

[h]Dodawanie węzłów[/h]
Nowe węzły można dodać do pulpitu, naciskając przycisk na dole ekranu.
"
guide_connections,Połączenia
guide_connections_desc,"Połączenia to łącza zarządzające przepływem zasobów między węzłami. Tworzy się je, łącząc wyjście z jednego węzła do wejścia innego.

[h]Tworzenie połączeń[/h]
Aby utworzyć połączenie, przeciągnij z wyjścia do wejścia innego węzła. Aby usunąć połączenie, przeciągnij z wyjścia, które już jest podłączone.

[h]Zasady połączeń[/h]
[I]Wyjścia:[/I] Wyjście może dystrybuować zasoby do wielu wejść.
[I]Wejścia:[/I] Wejście może otrzymywać zasób tylko z jednego wyjścia.
[I]Kształt i kolor:[/I] Dla poprawności połączenia wyjście i wejście muszą mieć ten sam kształt i kolor.
[I]Białe złącza:[/I] Białe złącza są uniwersalne. Mogą łączyć się z dowolnym złączem dowolnego koloru, jeżeli zgadza się kształt.
[I]Specyficzne wymagania:[/I] Niektóre wejścia mogą przyjmować tylko określony typ zasobu, nawet jeśli zgadza się kształt i kolor, akceptowalny będzie tylko właściwy zasób."
guide_files,Pliki
guide_files_desc,"Pliki są rodzajem zasobu w systemie, identyfikowanym przez ich kwadratowy kształt złącza. Występują w różnych formatach, każdy z własną wartością i rozmiarem.

[h]Charakterystyka[/h]
[I]Wartość:[/I] Każdy format ma własną wartość bazową, która określa, ile Pieniędzy przyznawane jest za przesłanie.
[I]Rozmiar:[/I] Każdy format ma także swój rozmiar w bitach.
[I]Jakość:[/I] Pliki zyskują jakość po przejściu określonych procesów. Każdy poziom jakości multiplikatywnie zwiększa wartość pliku i inne efekty.

[h]Procesy i modyfikacje[/h]
Pliki nie są statyczne; mogą przechodzić kilka procesów zmieniających ich cechy, takie jak wartość, rozmiar i jakość. Wszelkie modyfikacje są wizualnie oznaczane symbolami wyświetlanymi obok nazwy pliku."
guide_file_modifiers_scanned, Zeskanowany: Zwiększa Wartość 4x
guide_file_modifiers_infected, Zainfekowany: Obniża wartość 4x
guide_file_modifiers_validated, Zwalidowany: Zwiększa wartość 4x
guide_file_modifiers_compressed, Skompresowany: Zmniejsza rozmiar 2x
guide_file_modifiers_enhanced, Ulepszony: Zwiększa jakość i rozmiar 2x
guide_file_modifiers_refined, Rafinowany: Zwiększa zysk z badań 2x
guide_file_modifiers_analyzed, Przeanalizowany: Zwiększa prędkość badań 2x
guide_file_modifiers_distilled, Destylowany: Zwiększa zysk neuronowy 2x
guide_file_modifiers_trojan, Zainfekowany-trojanem: Przyznaje zainfekowany Komputer przy Przesłaniu w zależności od jakości pliku
guide_tokens,Tokeny
guide_tokens_desc,"Tokeny są specjalną walutą o dużej rzadkości.

[h]Zastosowania[/h]
[I]Przywileje:[/I] Stałe ulepszenia, np. wzrost wydajności lub odblokowanie nowych węzłów.
[I]Wzmocnienia:[/I] Tymczasowe bonusy.
[I]Usługi:[/I] Umożliwia cofnięcie określonych decyzji, np. zwrot Punktów Hakowania.

[h]Zdobywanie[/h]
[I]Naturalne Pojawienie:[/I] Tokeny okresowo pojawiają się na pulpicie.
[I]Osiągnięcia:[/I] Odblokowanie osiągnięć nagradza Tokenami.
[I]Wypełnianie Żądań Przesyłania:[/I] Przesyłanie żądanych plików daje Tokeny.
[I]Zakupy w aplikacji:[/I] Tokeny można nabyć poprzez zakupy w aplikacji."
guide_rest_time,Czas Odpoczynku
guide_rest_time_desc,"Czas odpoczynku to mechanika, która pozwala przyspieszyć postęp w grze poprzez wykorzystanie czasu spędzonego offline.

[h]Jak to działa[/h]
[I]Akumulacja:[/I] Co 72 sekundy offline zdobywasz 1 sekundę Czasu Odpoczynku.
[I]Aktywacja:[/I] Po powrocie do gry możesz aktywować zgromadzony Czas Odpoczynku.
[I]Efekt:[/I] Podczas aktywnego Czasu Odpoczynku prędkość symulacji gry jest zwiększona 5-krotnie.
[I]Przechowywanie:[/I] Możesz przechować maksymalnie 600 sekund Czasu Odpoczynku.

[h]Ulepszenia[/h]
System Czasu Odpoczynku można ulepszać poprzez badania, zwiększając maksymalny czas przechowywania i inne efekty."
guide_portal,Portal
guide_breach,Włamanie
guide_breach_desc,"Włamanie pozwala infiltrować i kompromitować różne podmioty, aby zdobywać cenne łupy.

[h]Włamanie[/h]
[I]Rozpoczęcie ataku:[/I] Zbuduj i wyślij Obrażenia Ładunkiem przy użyciu Mocy Hakowania.
[I]Licznik czasu:[/I] Atak na cel uruchamia licznik. Jeśli zdążysz go złamać przed upływem czasu, otrzymujesz nagrody. Jeśli nie, atak się nie powiedzie.
Udane włamanie zwiększa także Poziom Zagrożenia celu, wyższy poziom to trudniejsze w przyszłości włamania, ale i wyższe nagrody.

[h]Progresja[/h]
[I]Poziomy:[/I] Zdobądź Doświadczenie Hakerskie i zwiększaj Moc Hakowania.
[I]Punkty hakowania:[/I] Zwiększając poziom, zdobywasz punkty na ulepszenia umiejętności włamań.
[I]Umiejętności hakowania:[/I] Pozwalają dodać więcej węzłów hakowania.

[h]Cele i nagrody[/h]
[I]Anonimowi:[/I] Otrzymujesz Doświadczenie Hakerskie.
[I]Korporacje:[/I] Zyskujesz Dane Korporacyjne.
[I]Rząd:[/I] Dostajesz Dane Rządowe.

[h]Włamanie do banku[/h]
[I]Wygląd:[/I] Okazje do włamań do Banków pojawiają się okresowo.
[I]Nagrody tokenowe:[/I] Udane włamanie do Banku nagradza tokenami.
[I]Trwałe zagrożenie:[/I] Poziom zagrożenia banku nie może zostać zmieniony i nie resetuje się nawet po wejściu do Portalu."
guide_window_network,"Węzeł sprzętowy. Generuje prędkość pobierania i wysyłania na podstawie swojego poziomu, który można zwiększać za pieniądze. Wydajność może być dodatkowo powiększona przez Wzmocnenie Komponentu."
guide_window_uploader,"Wysyła pliki korzystając z Prędkości Wysyłania i wymienia je na Pieniądze (plik zostaje usunięty).
"
guide_window_processor,"Węzeł Sprzętowy. Generuje wiele wartości Taktowania na podstawie swojego poziomu i liczby rdzeni; jego poziom można ulepszać za pomocą Pieniędzy, aby zwiększyć wydajność wszystkich rdzeni, a liczbę rdzeni można zwiększać za pomocą Pieniędzy, aby zwiększyć ilość generowanego wyniku. Prędkość Taktowania jest mierzona w hercach (Hz), co oznacza cykle (C) na sekundę, i może być również zwiększane za pomocą Wzmocnienia Komponentu."
guide_window_processing_seller,Okresowo generuje pieniądze na podstawie ilości wprowadzonego Taktowania.
guide_window_virus_scanner,"Skanuje pliki w poszukiwaniu wirusów przy użyciu Taktowania, dodając modyfikator Zeskanowania i zwiększając wartość o 4x. Ściągnięte pliki mają 50% szans na modyfikator zainfekowania, który obniża wartość o 4x.
Liczba cykli (C) wymagana zależy od rozmiaru pliku."
guide_window_quarantine,Usuwa z plików modyfikator Zainfekowany przy użyciu Taktowania. Wymagana liczba cykli (C) zależy od rozmiaru pliku.
guide_window_antivirus_pro,"Skanuje i usuwa wirusy z plików przy użyciu Taktowania, dodając modyfikator zeskanowany i zwiększając jego wartość 4x. Wymagana liczba cykli (C) zależy od 2x rozmiaru pliku."
guide_window_refiner,"Rafinuje pliki przy użyciu Taktowania, dodając modyfikator Rafinowany i zwiększając dochód z badań 2x. Wymagana liczba cykli (C) zależy od rozmiaru pliku."
guide_window_analyzer,"Wstępnie analizuje pliki przy użyciu Taktowania, dodając modyfikator Wstępnie przeanalizowany i zwiększając czas potrzebny na badanie w Laboratorium Danych 2x. Wymagana liczba cykli (C) zależy od 2x rozmiaru pliku."
guide_window_distillator,"Destyluje pliki przy użyciu Taktowania, dodając modyfikator Destylowany i zwiększając dochód neuronowy podczas treningu neuronów 2x. Wymagana liczba cykli (C) zależy od rozmiaru pliku."
guide_window_encompressor,"Ulepsza i kompresuje pliki przy użyciu Taktowania, dodając modyfikatory Ulepszony i Skompresowany oraz zwiększając jakość 2x. Wymagana liczba cykli (C) zależy od 6x rozmiaru pliku."
guide_window_decompiler,"Dekompiluje Pliki Programów przy użyciu Taktowania, generując 2 mln Plików Tekstowych. Wymagana liczba cykli (C) zależy od 2x rozmiaru programu."
guide_window_decomposer,"Dekomponuje Pliki Wideo przy użyciu Taktowania, generując 20 tys. Plików Obrazów. Wymagana liczba cykli (C) zależy od 2x rozmiaru wideo."
guide_window_demuxer,"Demultipleksuje Pliki Wideo przy użyciu Taktowania, generując 200 Plików Dźwiękowych. Wymagana liczba cykli (C) zależy od 2x rozmiaru wideo."
guide_window_scrapper,"Scrapuje Pliki Gier przy użyciu Taktowania, generując 20 tys. Plików Wideo. Wymagana liczba cykli (C) zależy od 2x rozmiaru gry."
guide_window_ripper,"Zgrywa Pliki Gier przy użyciu Taktowania, generując 200 Plików Programów. Wymagana liczba cykli (C) zależy od 2x rozmiaru gry."
guide_window_movie_maker,Tworzy Pliki Wideo z Obrazów i Dźwięków przy użyciu Taktowania. Powstałe filmy dziedziczą podobne modyfikatory jak wykorzystane obrazy i dźwięki. Wymagana liczba cykli (C) zależy od 2x rozmiaru wideo.
guide_window_compiler,Tworzy Pliki Programów z Tekstów przy użyciu Taktowania. Powstałe programy dziedziczą modyfikatory użytych tekstów. Wymagana liczba cykli (C) zależy od 2x rozmiaru programu.
guide_window_game_engine,Tworzy Pliki Gier z Wideo i Programów przy użyciu Taktowania. Powstałe gry dziedziczą podobne modyfikatory jak wykorzystane obrazy i programy. Wymagana liczba cykli (C) zależy od 2x rozmiaru gry.
